sweep,colormap,param,nMAE,SSIM
quality,hot,65,3.0184649456331836,0.8184272612588557
quality,hot,75,2.784879167601301,0.847400909624868
quality,hot,85,2.415951555947297,0.8848678743463408
quality,hot,95,2.1515441252120038,0.912721529758648
resolution,hot,256,2.415951555947297,0.8848678743463408
resolution,hot,192,2.1729336489131366,0.92674159249744
resolution,hot,128,2.0092017325913822,0.9529328913342643
resolution,hot,96,2.0737238648486165,0.9608538149446574
resolution,hot,64,1.9696836195564518,0.9711290529314532
quality,jet,50,3.449658026855156,0.6726336547298849
quality,jet,65,3.141497542196085,0.7313830601055666
quality,jet,75,2.96580439516978,0.7600408644210898
quality,jet,85,2.7514189229057933,0.7881615826800644
quality,jet,95,2.6739130217729365,0.7990456523169541
resolution,jet,256,2.7514189229057933,0.7881615826800644
resolution,jet,192,2.0852446900945996,0.9080953003841431
resolution,jet,128,1.5386911221322375,0.9628961627514817
resolution,jet,96,1.5297847059544978,0.9696398923253965
resolution,jet,64,1.520357242377216,0.9670798938043147
quality,viridis,50,4.7503691397589405,0.5262618995916262
quality,viridis,65,4.479436526322383,0.5731351618346744
quality,viridis,75,4.228336771487965,0.6172150237451552
quality,viridis,85,3.8123764883939275,0.6929712824941862
quality,viridis,95,3.33870078543249,0.7612807904531932
resolution,viridis,256,3.8123764883939275,0.6929712824941862
resolution,viridis,192,3.0231580909198628,0.8440750108054831
resolution,viridis,128,2.3878522224890135,0.9279960437917956
resolution,viridis,96,2.20748217829371,0.9536099924475842
resolution,viridis,64,1.6523965072793145,0.9796921101356324
quality,copper,50,3.7697800586173287,0.6699869669497119
quality,copper,65,3.259899643895265,0.7533663444201507
quality,copper,75,2.978069891793771,0.7941577732035154
quality,copper,85,2.4690089680618326,0.8614820022246702
quality,copper,95,1.9037850946474537,0.9169183545006917
resolution,copper,256,2.4690089680618326,0.8614820022246702
resolution,copper,192,1.566523926370245,0.9138435025973413
resolution,copper,128,1.1783494661054743,0.9385193750103387
resolution,copper,96,1.0493879017598822,0.9505430959914648
resolution,copper,64,0.8891786666927722,0.9691520361581543
quality,hot,50,3.656166771914705,0.7061165939175991
quality,hot,65,3.3887503334182925,0.750132339436925
quality,hot,75,3.0676988109543215,0.7952930266968297
quality,hot,85,2.6791789404813455,0.8442434051090135
quality,hot,95,2.459236136021528,0.8698397944687347
resolution,hot,256,2.6791789404813455,0.8442434051090135
resolution,hot,192,1.828700215372912,0.8982039271273067
resolution,hot,128,1.455238691598928,0.9279322172669882
resolution,hot,96,1.497826925759772,0.9265398549932005
resolution,hot,64,1.8382396962765077,0.9178870849181022
quality,jet,50,4.500027218643713,0.35721121214326584
quality,jet,65,4.26120373609107,0.4339182194893269
quality,jet,75,4.090888608490764,0.4786526831826061
quality,jet,85,3.943665755192624,0.49935794198009137
quality,jet,95,3.8984547969080228,0.5019176643194857
resolution,jet,256,3.943665755192624,0.49935794198009137
resolution,jet,192,2.510695887476565,0.7297332630716025
resolution,jet,128,1.6032696652110796,0.8851958118648346
resolution,jet,96,1.503718822154384,0.8992505441336031
resolution,jet,64,1.4071059353436026,0.9329823368440698
quality,viridis,50,4.733686841310826,0.3851989264399691
quality,viridis,65,4.741632172988776,0.3773753154742444
quality,viridis,75,4.652088198099066,0.3955387941259448
quality,viridis,85,4.332871296696888,0.4823640160177159
quality,viridis,95,3.8183732394592558,0.6184738168934955
resolution,viridis,256,4.332871296696888,0.4823640160177159
resolution,viridis,192,3.004844440674547,0.6631658561975526
resolution,viridis,128,2.225622968138526,0.7937504678103532
resolution,viridis,96,1.904419824996234,0.8524905397565995
